,NO,SMILES structure,logD,smi
50,O-270,O1C2C34C(C(N(CC3)C)Cc3c4c1c(O)cc3)C=CC2O,-0.44,O 1 C 2 C 34 C ( C ( N ( C C 3 ) C ) C c 3 c 4 c 1 c ( O ) c c 3 ) C = C C 2 O
51,A-logD7.4-259,O(CC[C@H]1N(CCCC1)C(=O)[C@H](NCC(O)=O)CC1CCCCC1)c1ccc(cc1)C(N)=N,0.4,O ( C C [C@H] 1 N ( C C C C 1 ) C ( = O ) [C@H] ( N C C ( O ) = O ) C C 1 C C C C C 1 ) c 1 c c c ( c c 1 ) C ( N ) = N
52,A-logD7.4-386,S(=O)(=O)(Nc1ccc(cc1)Cc1nc(on1)-c1cc2c([nH]cc2CCN(C)C)cc1)C,1.25,S ( = O ) ( = O ) ( N c 1 c c c ( c c 1 ) C c 1 n c ( o n 1 ) - c 1 c c 2 c ( [nH] c c 2 C C N ( C ) C ) c c 1 ) C
53,A-logD7.4-779,Ic1cc(cc(I)c1OCCN(C)C)C(=O)c1c2c(oc1CCCC)cccc2,5.39,I c 1 c c ( c c ( I ) c 1 O C C N ( C ) C ) C ( = O ) c 1 c 2 c ( o c 1 C C C C ) c c c c 2
54,O-409,OC(=O)c1ccc(N)cc1,-1.77,O C ( = O ) c 1 c c c ( N ) c c 1
55,O-521,Brc1[nH]c2c3c1C[C@@H]1N(C[C@@H](C=C1c3ccc2)C(=O)N[C@@]1(O[C@]2(O)N([C@H](CC(C)C)C(=O)N3[C@H]2CCC3)C1=O)C(C)C)C,4.2,Br c 1 [nH] c 2 c 3 c 1 C [C@@H] 1 N ( C [C@@H] ( C = C 1 c 3 c c c 2 ) C ( = O ) N [C@@] 1 ( O [C@] 2 ( O ) N ( [C@H] ( C C ( C ) C ) C ( = O ) N 3 [C@H] 2 C C C 3 ) C 1 = O ) C ( C ) C ) C
56,E-logD7.4-92,o1cc(nc1-c1ccc(OCCCCC)cc1)CNC1CC(CC(C1)C)(C)C,6.02,o 1 c c ( n c 1- c 1 c c c ( O C C C C C ) c c 1 ) C N C 1 C C ( C C ( C 1 ) C ) ( C ) C
57,A-logD7.4-585,[Tc-]12(SCC[N+]1(CCS2)CCN(C)C)(Sc1ccc(OC)cc1)[OH2+],2.38,[Tc-] 12 ( S C C [N+] 1 ( C C S 2 ) C C N ( C ) C ) ( S c 1 c c c ( O C ) c c 1 ) [OH2+]
58,A-logD7.4-469,OC1CCN(CC1)c1nnc(Nn2c(ccc2C)C)cc1,1.7,O C 1 C C N ( C C 1 ) c 1 n n c ( N n 2 c ( c c c 2 C ) C ) c c 1
59,B-logD7.4-299,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)CCSCCc1ccccc1,2.34,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) C C S C C c 1 c c c c c 1
60,A-logD7.4-128,[nH]1cc(c2cc(ccc12)Cn1nnnc1)CCN(C)C,-0.64,[nH] 1 c c ( c 2 c c ( c c c 12 ) C n 1 n n n c 1 ) C C N ( C ) C
61,E-logD7.4-90,o1cc(nc1-c1ccc(cc1)CCCC)CNC(CCCCC)C,5.51,o 1 c c ( n c 1- c 1 c c c ( c c 1 ) C C C C ) C N C ( C C C C C ) C
62,A-logD7.4-118,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2)C)cc1N1CCNCC1,-0.73,F c 1 c c 2 c ( N ( C = C ( C ( O ) = O ) C 2 = O ) c 2 c c c ( c c 2 ) C ) c c 1 N 1 C C N C C 1
63,O-236,OC(=O)Cn1cc(cc1C(=O)c1ccccc1)C(=O)c1ccccc1,-0.51,O C ( = O ) C n 1 c c ( c c 1 C ( = O ) c 1 c c c c c 1 ) C ( = O ) c 1 c c c c c 1
64,A-logD7.4-169,OC=1C(=O)C=CN(CCCCO)C=1CC,-0.28,O C = 1 C ( = O ) C = C N ( C C C C O ) C = 1 C C
65,A-logD7.4-673,[nH]1cc(c2c1cccc2)-c1ccncc1,2.81,[nH] 1 c c ( c 2 c 1 c c c c 2 ) - c 1 c c n c c 1
66,A-logD7.4-818,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CCCC)c1ccccc1,4.09,F C ( F ) ( F ) c 1 c c ( c c ( c 1 ) C ( F ) ( F ) F ) C O C C ( N 1 C C N ( C C 1 ) C C C C ) c 1 c c c c c 1
67,O-18,Fc1cc2c(-n3c(CN(C)C2=O)c(nc3)C(OCC)=O)cc1,1.21,F c 1 c c 2 c ( - n 3 c ( C N ( C ) C 2 = O ) c ( n c 3 ) C ( O C C ) = O ) c c 1
68,I-logDoct-PBS-8,OC(=O)c1cc(ccc1)Cn1nccc1,-1.62,O C ( = O ) c 1 c c ( c c c 1 ) C n 1 n c c c 1
69,B-logD7.4-311,s1c2c(nc1O)c(O)ccc2CCNCCCN(S(=O)(=O)CCOCCc1ccccc1)C,1.24,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C N ( S ( = O ) ( = O ) C C O C C c 1 c c c c c 1 ) C
70,A-logD7.4-527,Clc1cc2cc(sc2cc1)S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O,2.07,Cl c 1 c c 2 c c ( s c 2 c c 1 ) S ( = O ) ( = O ) N [C@H] 1 C C N ( [C@H] ( C ( = O ) N 2 C C O C C 2 ) C ) C 1 = O
71,B-logD7.4-85,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCC(O)=O)CC1CCCCC1)Cc1ccccc1,2.8,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C ( O ) = O ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
72,O-64,O1C(CO)C([N-][N+]#N)CC1N1C=C(C)C(=O)NC1=O,-0.58,O 1 C ( C O ) C ( [N-] [N+] # N ) C C 1 N 1 C = C ( C ) C ( = O ) N C 1 = O
73,A-logD7.4-650,[Tc-]12(SCC[N+]1(CCS2)CCN(CC)CC)(Sc1ccc(cc1)CC)[OH2+],2.7,[Tc-] 12 ( S C C [N+] 1 ( C C S 2 ) C C N ( C C ) C C ) ( S c 1 c c c ( c c 1 ) C C ) [OH2+]
74,F-logD7.4-61,OC=1C(=O)C=CN(CCCCCCCC)C=1C,2.88,O C = 1 C ( = O ) C = C N ( C C C C C C C C ) C = 1 C
75,A-logD7.4-453,Clc1cc(ccc1NC(=O)Nc1ccccc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.61,Cl c 1 c c ( c c c 1 N C ( = O ) N c 1 c c c c c 1 C ) C C ( = O ) N 1 C [C@@H] ( F ) C [C@H] 1 C O c 1 c c c ( c c 1 ) C ( O ) = O
76,A-logD7.4-243,O(C)c1ccc(cc1)[C@@H]1C[C@H]1NC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O,0.3,O ( C ) c 1 c c c ( c c 1 ) [C@@H] 1 C [C@H] 1 N C ( = O ) C 1 ( C C C C 1 ) C [C@@H] ( C C O C ) C ( O ) = O
77,B-logD7.4-73,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCN)CC1CCCCC1)Cc1ccccc1,3.5,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C N ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
78,O-24,O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1,0.63,O = C 1 N ( N ( C ) C ( C ) = C 1 N ( C ) C ) c 1 c c c c c 1
79,A-logD7.4-210,s1c2c(nc1CN1N=C(c3c(cccc3)C1=O)CC(O)=O)cc(F)cc2F,0.05,s 1 c 2 c ( n c 1 C N 1 N = C ( c 3 c ( c c c c 3 ) C 1 = O ) C C ( O ) = O ) c c ( F ) c c 2 F
80,A-logD7.4-202,OC=1C(=O)C=CN(CC=C)C=1C,0.03,O C = 1 C ( = O ) C = C N ( C C = C ) C = 1 C
81,C-logD7.4-54,S(c1c2c(nc(nc2N)N)ccc1)c1cc2c(cc1)cccc2,4.41,S ( c 1 c 2 c ( n c ( n c 2 N ) N ) c c c 1 ) c 1 c c 2 c ( c c 1 ) c c c c 2
82,O-583,OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNC,-3.62,O C [C@H] ( O ) [C@@H] ( O ) [C@H] ( O ) [C@@H] ( O ) C N C
83,E-logD7.4-29,Fc1ccc(cc1)/C(=N/O)/NC1CCCCC1,4.02,F c 1 c c c ( c c 1 ) / C ( = N / O ) / N C 1 C C C C C 1
84,A-logD7.4-435,O(CC)c1ccccc1C[C@@H](N1CCNCC1)c1ccccc1,1.5,O ( C C ) c 1 c c c c c 1 C [C@@H] ( N 1 C C N C C 1 ) c 1 c c c c c 1
85,B-logD7.4-235,Clc1cc(Cl)ccc1-c1[nH]nc(c1)C1CCN(CC1)C(=O)NCCn1c(ncc1[N+](=O)[O-])C,3.4,Cl c 1 c c ( Cl ) c c c 1- c 1 [nH] n c ( c 1 ) C 1 C C N ( C C 1 ) C ( = O ) N C C n 1 c ( n c c 1 [N+] ( = O ) [O-] ) C
86,B-logD7.4-175,S(=O)(Cc1ncc(C)c(OC)c1C)c1[nH]c2c(n1)cc(OC)cc2,2.3,S ( = O ) ( C c 1 n c c ( C ) c ( O C ) c 1 C ) c 1 [nH] c 2 c ( n 1 ) c c ( O C ) c c 2
87,A-logD7.4-539,c1ccccc1,2.13,c 1 c c c c c 1
88,O-147,Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,4.2,Cl c 1 c ( c c c c 1 Cl ) C 1 C ( C ( O C C ) = O ) = C ( N C ( C ) = C 1 C ( O C ) = O ) C
89,O-267,O(C)c1cc2N([C@@H]3[C@@]4([C@H]5N(CC=C[C@@]5(CC)[C@@H](OC(=O)C)[C@]3(O)C(OC)=O)CC4)c2cc1[C@@]1(c2[nH]c3c(c2CCN2C[C@@](O)(C[C@H](C1)C2)CC)cccc3)C(OC)=O)C=O,0.45,O ( C ) c 1 c c 2 N ( [C@@H] 3 [C@@] 4 ( [C@H] 5 N ( C C = C [C@@] 5 ( C C ) [C@@H] ( O C ( = O ) C ) [C@] 3 ( O ) C ( O C ) = O ) C C 4 ) c 2 c c 1 [C@@] 1 ( c 2 [nH] c 3 c ( c 2 C C N 2 C [C@@] ( O ) ( C [C@H] ( C 1 ) C 2 ) C C ) c c c c 3 ) C ( O C ) = O ) C = O
90,A-logD7.4-502,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1ccsc1)C,1.9,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C ( C # C c 1 c c s c 1 ) C
91,B-logD7.4-164,Clc1ccccc1C1=NC(O)C(=O)N(c2c1cc(Cl)cc2)C,2.72,Cl c 1 c c c c c 1 C 1 = N C ( O ) C ( = O ) N ( c 2 c 1 c c ( Cl ) c c 2 ) C
92,O-27,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,1.54,O ( C C ( O ) C N C ( C ) C ) c 1 c 2 c ( c c c 1 ) c c c c 2
93,A-logD7.4-815,Ic1cc(N(Cc2cc(OC)ccc2OC)C(=O)C)c(Oc2ccccc2)cc1,4.03,I c 1 c c ( N ( C c 2 c c ( O C ) c c c 2 O C ) C ( = O ) C ) c ( O c 2 c c c c c 2 ) c c 1
94,O-128,n1ccn(c1)[C@@H](c1ccc(cc1)-c1ccccc1)c1ccccc1,4.77,n 1 c c n ( c 1 ) [C@@H] ( c 1 c c c ( c c 1 ) - c 1 c c c c c 1 ) c 1 c c c c c 1
95,A-logD7.4-723,O1C(=O)c2c(N=C1NCCCC)cccc2,3.1,O 1 C ( = O ) c 2 c ( N = C 1 N C C C C ) c c c c 2
96,A-logD7.4-652,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CCCCc1nn[nH]n1)c1ccccc1,2.71,F C ( F ) ( F ) c 1 c c ( c c ( c 1 ) C ( F ) ( F ) F ) C O C C ( N 1 C C N ( C C 1 ) C C C C c 1 n n [nH] n 1 ) c 1 c c c c c 1
97,I-logDoct-PBS-2,OC(=O)c1ccc(cc1)Cc1ncccn1,-2.2,O C ( = O ) c 1 c c c ( c c 1 ) C c 1 n c c c n 1
98,A-logD7.4-187,S1(=O)(=O)N(C)C(C(=O)Nc2ncccc2)=C(O)c2c1cccc2,-0.08,S 1 ( = O ) ( = O ) N ( C ) C ( C ( = O ) N c 2 n c c c c 2 ) = C ( O ) c 2 c 1 c c c c 2
99,O-367,O(C)c1cc(ccc1OC)Cc1nccc2c1cc(OC)c(OC)c2,2.89,O ( C ) c 1 c c ( c c c 1 O C ) C c 1 n c c c 2 c 1 c c ( O C ) c ( O C ) c 2
100,A-logD7.4-465,Clc1ccccc1NC(=O)Nc1ccc(cc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.69,Cl c 1 c c c c c 1 N C ( = O ) N c 1 c c c ( c c 1 C ) C C ( = O ) N 1 C [C@@H] ( F ) C [C@H] 1 C O c 1 c c c ( c c 1 ) C ( O ) = O
101,C-logD7.4-135,o1c(nnc1-c1occc1)-c1cc(NC(=O)CCC2CCCCC2)ccc1,6.84,o 1 c ( n n c 1- c 1 o c c c 1 ) - c 1 c c ( N C ( = O ) C C C 2 C C C C C 2 ) c c c 1
102,A-logD7.4-592,O1C(=O)c2c(N=C1NC(C)C)cc(NCC)cc2,2.4,O 1 C ( = O ) c 2 c ( N = C 1 N C ( C ) C ) c c ( N C C ) c c 2
103,C-logD7.4-8,S(c1nc(ncc1)N1CCN(CC1)c1ccncc1)c1nnc(n1CCN1CCOCC1)Cc1ccccc1,2.18,S ( c 1 n c ( n c c 1 ) N 1 C C N ( C C 1 ) c 1 c c n c c 1 ) c 1 n n c ( n 1 C C N 1 C C O C C 1 ) C c 1 c c c c c 1
104,A-logD7.4-279,s1c(nnc1NC(=O)C1(CCCC1)C[C@@H](CCC)C(O)=O)CC,0.5,s 1 c ( n n c 1 N C ( = O ) C 1 ( C C C C 1 ) C [C@@H] ( C C C ) C ( O ) = O ) C C
105,E-logD7.4-60,Fc1ccc(cc1)-c1nn2c(N=C(C=C2NCCCN2CCCC2=O)c2ccccc2)c1,4.77,F c 1 c c c ( c c 1 ) - c 1 n n 2 c ( N = C ( C = C 2 N C C C N 2 C C C C 2 = O ) c 2 c c c c c 2 ) c 1
106,E-logD7.4-49,O\N=C(/N1CCCCC1)\c1ccccc1-c1ccccc1,4.46,O \ N = C ( / N 1 C C C C C 1 ) \ c 1 c c c c c 1- c 1 c c c c c 1
107,C-logD7.4-83,Clc1c2c(sc1C(=O)NC=1SCCN=1)cc(F)cc2,5.16,Cl c 1 c 2 c ( s c 1 C ( = O ) N C = 1 S C C N = 1 ) c c ( F ) c c 2
108,A-logD7.4-830,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)\C=C\CCC,4.3,O ( C ) c 1 c c 2- n 3 c ( c c c 3 ) C ( = N c 2 c c 1 ) \ C = C \ C C C
109,B-logD7.4-202,O(C)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,0.63,O ( C ) c 1 c ( O C ) c c ( c c 1 O C ) C c 1 c n c ( n c 1 N ) N
