,NO,SMILES structure,logD,smi
102,O-191,Clc1cc(Cl)ccc1[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,4.33,Cl c 1 c c ( Cl ) c c c 1 [C@@] 1 ( O [C@H] ( C O 1 ) C O c 1 c c c ( N 2 C C N ( C C 2 ) C ( = O ) C ) c c 1 ) C n 1 c c n c 1
103,O-344,OC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](N)Cc1ccccc1)Cc1ccccc1)Cc1ccccc1,-0.29,O C ( = O ) [C@H] ( N C ( = O ) [C@@H] ( N C ( = O ) [C@H] ( N ) C c 1 c c c c c 1 ) C c 1 c c c c c 1 ) C c 1 c c c c c 1
104,A-logD7.4-784,O1C(=O)c2c(N=C1N(C(C)C)C(C)C)cccc2,3.7,O 1 C ( = O ) c 2 c ( N = C 1 N ( C ( C ) C ) C ( C ) C ) c c c c 2
105,A-logD7.4-458,Oc1ccc(cc1)C[C@H](NC(=O)[C@@H](NC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)C)Cc1ccccc1)Cc1ccccc1)C(=O)N,1.64,O c 1 c c c ( c c 1 ) C [C@H] ( N C ( = O ) [C@@H] ( N C ( = O ) [C@H] 1 N ( C C C 1 ) C ( = O ) [C@@H] ( N C ( = O ) C ) C c 1 c c c c c 1 ) C c 1 c c c c c 1 ) C ( = O ) N
106,A-logD7.4-446,Oc1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)C(=O)C(O)=O)cc1,1.6,O c 1 c c ( c c c 1 ) [C@H] ( N 1 C [C@H] ( N ( C [C@@H] 1 C ) C c 1 c c c c c 1 ) C ) c 1 c c 2 c ( C C N ( C 2 ) C ( = O ) C ( O ) = O ) c c 1
107,O-499,OC(=O)[C@@H](NC(=O)[C@@H](N)Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2,-0.4,O C ( = O ) [C@@H] ( N C ( = O ) [C@@H] ( N ) C c 1 c 2 c ( [nH] c 1 ) c c c c 2 ) C c 1 c 2 c ( [nH] c 1 ) c c c c 2
108,A-logD7.4-466,O1C(=O)c2c(N=C1NC)cccc2,1.7,O 1 C ( = O ) c 2 c ( N = C 1 N C ) c c c c 2
109,A-logD7.4-421,Clc1cc(Cl)ccc1-c1nc(nc(N)c1CN)C,1.4,Cl c 1 c c ( Cl ) c c c 1- c 1 n c ( n c ( N ) c 1 C N ) C
110,O-241,OC(=O)Cc1[nH]c(cc1)C(=O)c1ccccc1,-0.67,O C ( = O ) C c 1 [nH] c ( c c 1 ) C ( = O ) c 1 c c c c c 1
111,B-logD7.4-145,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,1.83,F [C@@] 12 [C@H] ( [C@@H] 3 C [C@@H] ( C ) [C@] ( O ) ( C ( = O ) C O ) [C@] 3 ( C [C@@H] 1 O ) C ) C C C 1 = C C ( = O ) C = C [C@@] 12 C
112,A-logD7.4-581,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CC(O)=O)c1ccccc1,2.35,F C ( F ) ( F ) c 1 c c ( c c ( c 1 ) C ( F ) ( F ) F ) C O C C ( N 1 C C N ( C C 1 ) C C ( O ) = O ) c 1 c c c c c 1
