,NO,SMILES structure,logD,smi
14,O-97,Clc1cccc(Cl)c1C=NN=C(N)N,1.67,Cl c 1 c c c c ( Cl ) c 1 C = N N = C ( N ) N
15,A-logD7.4-370,O=[N+]([O-])c1[nH]c2c(c1)C(N(CC2C)C)C,1.14,O = [N+] ( [O-] ) c 1 [nH] c 2 c ( c 1 ) C ( N ( C C 2 C ) C ) C
16,A-logD7.4-19,OC=1C(=O)C=CN(CCCC(O)=O)C=1C,-2.75,O C = 1 C ( = O ) C = C N ( C C C C ( O ) = O ) C = 1 C
17,B-logD7.4-182,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,1.26,O ( C C ( O ) C N C ( C ) C ) c 1 c 2 c ( c c c 1 ) c c c c 2
18,C-logD7.4-48,FC(F)(F)c1nc2n(C=CC=C2)c1C(=O)NCc1cc2OCOc2cc1,4.23,F C ( F ) ( F ) c 1 n c 2 n ( C = C C = C 2 ) c 1 C ( = O ) N C c 1 c c 2 O C O c 2 c c 1
19,A-logD7.4-728,n1nc(Nn2c(ccc2C)C)ccc1N1CCCCC1,3.13,n 1 n c ( N n 2 c ( c c c 2 C ) C ) c c c 1 N 1 C C C C C 1
20,O-123,Clc1ccccc1C1=N[C@H](O)C(=O)N(c2c1cc(Cl)cc2)C,2.72,Cl c 1 c c c c c 1 C 1 = N [C@H] ( O ) C ( = O ) N ( c 2 c 1 c c ( Cl ) c c 2 ) C
21,O-88,O(CC(O)CNC(C)C)c1ccccc1CC=C,1.0,O ( C C ( O ) C N C ( C ) C ) c 1 c c c c c 1 C C = C
22,A-logD7.4-743,n1-2c(ccc1)C(=Nc1c-2cccc1)\C=C/C,3.3,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) \ C = C / C
23,A-logD7.4-507,O1c2c(OCC1Cc1nccn1C)cccc2,1.93,O 1 c 2 c ( O C C 1 C c 1 n c c n 1 C ) c c c c 2
24,A-logD7.4-562,Brc1cc(ccc1NC(=O)Nc1ccccc1Br)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,2.28,Br c 1 c c ( c c c 1 N C ( = O ) N c 1 c c c c c 1 Br ) C C ( = O ) N 1 C [C@@H] ( F ) C [C@H] 1 C O c 1 c c c ( c c 1 ) C ( O ) = O
25,A-logD7.4-571,O(C)c1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)CCC(O)=O)cc1,2.3,O ( C ) c 1 c c ( c c c 1 ) [C@H] ( N 1 C [C@H] ( N ( C [C@@H] 1 C ) C c 1 c c c c c 1 ) C ) c 1 c c 2 c ( C C N ( C 2 ) C C C ( O ) = O ) c c 1
26,A-logD7.4-207,OC=1C(=O)C=CN(C(C)C)C=1C,0.05,O C = 1 C ( = O ) C = C N ( C ( C ) C ) C = 1 C
27,I-logDoct-PBS-19,O=C(N)c1cc(ccc1)Cc1ncccn1,0.28,O = C ( N ) c 1 c c ( c c c 1 ) C c 1 n c c c n 1
28,E-logD7.4-65,o1cc(nc1-c1ccc(cc1)CCCC)CNCCN1CCCC1,4.89,o 1 c c ( n c 1- c 1 c c c ( c c 1 ) C C C C ) C N C C N 1 C C C C 1
29,A-logD7.4-367,N(CCCC12CCC(c3c1cccc3)c1c2cccc1)C,1.12,N ( C C C C 12 C C C ( c 3 c 1 c c c c 3 ) c 1 c 2 c c c c 1 ) C
30,A-logD7.4-597,FC(F)(F)c1ccc(cc1)/C(=N/OCCN)/CCCCOC,2.41,F C ( F ) ( F ) c 1 c c c ( c c 1 ) / C ( = N / O C C N ) / C C C C O C
31,J-D7.4-10,OC=1C(=O)C=C(N(C)C=1C(O)C)C,-0.61,O C = 1 C ( = O ) C = C ( N ( C ) C = 1 C ( O ) C ) C
32,A-logD7.4-300,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(CC)c1ccncc1,0.6,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C ( C C ) c 1 c c n c c 1
33,A-logD7.4-88,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(F)cc2C)cc1N1CC(NC(C1)C)C,-1.05,F c 1 c c 2 c ( N ( C = C ( C ( O ) = O ) C 2 = O ) c 2 c c c ( F ) c c 2 C ) c c 1 N 1 C C ( N C ( C 1 ) C ) C
34,A-logD7.4-794,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N1CCN(CC1)C)c1ccccc1,3.71,Cl c 1 c c ( c c c 1 Cl ) [C@] 1 ( C C N ( C 1 ) C ( = O ) c 1 c c ( O C ) c ( O C ) c ( O C ) c 1 ) C C N 1 C C C ( C C 1 ) ( C ( = O ) N 1 C C N ( C C 1 ) C ) c 1 c c c c c 1
35,O-5,S(=O)(=O)(N)c1cc(cc(NCCCC)c1Oc1ccccc1)C(O)=O,-0.11,S ( = O ) ( = O ) ( N ) c 1 c c ( c c ( N C C C C ) c 1 O c 1 c c c c c 1 ) C ( O ) = O
36,B-logD7.4-269,s1c2c(nc1O)c(O)ccc2CCNCC(CSCCOCCc1ccccc1N)(C)C,3.44,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C ( C S C C O C C c 1 c c c c c 1 N ) ( C ) C
37,A-logD7.4-530,o1nc(nc1[C@H](CCCC1CCCCC1)CC(=O)NO)C1=CNC(=O)NC1=O,2.1,o 1 n c ( n c 1 [C@H] ( C C C C 1 C C C C C 1 ) C C ( = O ) N O ) C 1 = C N C ( = O ) N C 1 = O
38,B-logD7.4-230,O1c2cc(COC(=O)N3CCC4(N(CNC4=O)c4ccccc4)CC3)c([N+](=O)[O-])cc2OC1,3.1,O 1 c 2 c c ( C O C ( = O ) N 3 C C C 4 ( N ( C N C 4 = O ) c 4 c c c c c 4 ) C C 3 ) c ( [N+] ( = O ) [O-] ) c c 2 O C 1
39,A-logD7.4-777,n1-2c(ccc1)C(=Nc1c-2cccc1)c1ccccc1,3.6,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) c 1 c c c c c 1
40,A-logD7.4-183,[nH]1cc(c2cc(-n3ccnc3C)ccc12)CCN(C)C,-0.13,[nH] 1 c c ( c 2 c c ( - n 3 c c n c 3 C ) c c c 12 ) C C N ( C ) C
41,A-logD7.4-692,Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccc1OC,2.93,F c 1 c c c ( c c 1 ) C ( = O ) C C C N 1 C C N ( C C 1 ) c 1 c c c c c 1 O C
42,O-216,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,1.74,F [C@@] 12 [C@H] ( [C@@H] 3 C [C@@H] ( C ) [C@] ( O ) ( C ( = O ) C O ) [C@] 3 ( C [C@@H] 1 O ) C ) C C C 1 = C C ( = O ) C = C [C@@] 12 C
43,A-logD7.4-142,Oc1c(nccc1O)C,-0.5,O c 1 c ( n c c c 1 O ) C
44,O-174,[Br-].O1c2c(cccc2)C(c2c1cccc2)C(OCC[N+](C(C)C)(C(C)C)C)=O,-1.07,[Br-] . O 1 c 2 c ( c c c c 2 ) C ( c 2 c 1 c c c c 2 ) C ( O C C [N+] ( C ( C ) C ) ( C ( C ) C ) C ) = O
45,B-logD7.4-263,s1c2c(nc1O)c(O)ccc2CCNCCNC(=O)CCOCCc1ccccc1,1.34,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C N C ( = O ) C C O C C c 1 c c c c c 1
46,B-logD7.4-278,S1c2c(NC1=O)c(O)ccc2CCNCCCS(=O)(=O)CCCOCCc1ccccc1,1.5,S 1 c 2 c ( N C 1 = O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) C C C O C C c 1 c c c c c 1
47,O-437,Fc1cc(F)ccc1-c1cc(C(O)=O)c(O)cc1,0.37,F c 1 c c ( F ) c c c 1- c 1 c c ( C ( O ) = O ) c ( O ) c c 1
48,E-logD7.4-91,o1cc(nc1-c1ccc(cc1)CCCC)CNC1CC(CC(C1)C)(C)C,5.99,o 1 c c ( n c 1- c 1 c c c ( c c 1 ) C C C C ) C N C 1 C C ( C C ( C 1 ) C ) ( C ) C
49,B-logD7.4-157,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@](O)(C(=O)CO)[C@]4(C[C@@H]3O)C)CCC2=C1)C,1.55,O = C 1 C C [C@@] 2 ( [C@@H] 3 [C@H] ( [C@@H] 4 C C [C@] ( O ) ( C ( = O ) C O ) [C@] 4 ( C [C@@H] 3 O ) C ) C C C 2 = C 1 ) C
50,A-logD7.4-802,Fc1cc(N(Cc2cc(OC)ccc2OCCF)C(=O)C)c(Oc2ccccc2)cc1,3.81,F c 1 c c ( N ( C c 2 c c ( O C ) c c c 2 O C C F ) C ( = O ) C ) c ( O c 2 c c c c c 2 ) c c 1
51,B-logD7.4-121,O=C(C)c1ccccc1,1.58,O = C ( C ) c 1 c c c c c 1
52,B-logD7.4-123,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,2.1,Cl c 1 c c 2 c ( - n 3 c ( n n c 3 C ) C N = C 2 c 2 c c c c c 2 ) c c 1
53,A-logD7.4-798,O1C(=O)c2c(N=C1NCCCC)cccc2CC,3.8,O 1 C ( = O ) c 2 c ( N = C 1 N C C C C ) c c c c 2 C C
54,A-logD7.4-312,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1cc(ccc1)C(=O)N(OCC)C,0.7,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C c 1 c c ( c c c 1 ) C ( = O ) N ( O C C ) C
55,A-logD7.4-844,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@H](NC(OCCN(C)C)=O)C(C)C)CC1CCCCC1)Cc1ccccc1,4.6,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@H] ( N C ( O C C N ( C ) C ) = O ) C ( C ) C ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
56,A-logD7.4-457,O1CCN(CC1)c1nnc(N(n2c(ccc2C)C)C(=O)C)cc1,1.64,O 1 C C N ( C C 1 ) c 1 n n c ( N ( n 2 c ( c c c 2 C ) C ) C ( = O ) C ) c c 1
57,O-9,O1CCC[C@H]1C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1,1.14,O 1 C C C [C@H] 1 C ( = O ) N 1 C C N ( C C 1 ) c 1 n c ( N ) c 2 c c ( O C ) c ( O C ) c c 2 n 1
58,A-logD7.4-838,n1-2c(ccc1)C(=Nc1c-2cccc1)\C=C\CCC,4.44,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) \ C = C \ C C C
59,A-logD7.4-854,ClCCN(CCCl)c1ccc(cc1)CCCC(=O)NCCCC(=O)NCCCCCC[C@H]1[C@H]2[C@@H]3CC[C@H](O)[C@]3(CC[C@@H]2c2c(cc(O)cc2)C1)C,4.85,Cl C C N ( C C Cl ) c 1 c c c ( c c 1 ) C C C C ( = O ) N C C C C ( = O ) N C C C C C C [C@H] 1 [C@H] 2 [C@@H] 3 C C [C@H] ( O ) [C@] 3 ( C C [C@@H] 2 c 2 c ( c c ( O ) c c 2 ) C 1 ) C
60,C-logD7.4-14,Clc1sc(cc1)-c1oc(nn1)NC(=O)c1ccc(S(=O)(=O)N(C)C)cc1,2.83,Cl c 1 s c ( c c 1 ) - c 1 o c ( n n 1 ) N C ( = O ) c 1 c c c ( S ( = O ) ( = O ) N ( C ) C ) c c 1
61,O-404,Clc1cc2c(NC(=O)CN=C2c2ccccc2)cc1,3.01,Cl c 1 c c 2 c ( N C ( = O ) C N = C 2 c 2 c c c c c 2 ) c c 1
62,A-logD7.4-516,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1oc2c(c1)cccc2,2.0,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C ( C ) c 1 o c 2 c ( c 1 ) c c c c 2
63,A-logD7.4-470,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1ccncc1)C,1.7,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C ( C # C c 1 c c n c c 1 ) C
64,F-logD7.4-15,OC1=CC=CN(CC)C1=O,0.2,O C 1 = C C = C N ( C C ) C 1 = O
65,B-logD7.4-194,S1c2c(N(c3c1cccc3)CCC1N(CCCC1)C)cc(SC)cc2,3.34,S 1 c 2 c ( N ( c 3 c 1 c c c c 3 ) C C C 1 N ( C C C C 1 ) C ) c c ( S C ) c c 2
66,A-logD7.4-628,[Tc-]12(SCC[N+]1(CCS2)CCN(CC)CC)(Sc1ccccc1OC)[OH2+],2.6,[Tc-] 12 ( S C C [N+] 1 ( C C S 2 ) C C N ( C C ) C C ) ( S c 1 c c c c c 1 O C ) [OH2+]
67,A-logD7.4-634,O1[C@H]([C@@H]1C)C1=Nc2c(-n3c1ccc3)cccc2,2.61,O 1 [C@H] ( [C@@H] 1 C ) C 1 = N c 2 c ( - n 3 c 1 c c c 3 ) c c c c 2
68,O-483,s1cccc1C(=O)c1ccc(cc1)C(C(O)=O)C,-0.3,s 1 c c c c 1 C ( = O ) c 1 c c c ( c c 1 ) C ( C ( O ) = O ) C
69,B-logD7.4-75,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCNC(=O)N)CC1CCCCC1)Cc1ccccc1,4.2,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( O [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C C N C ( = O ) N ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
70,A-logD7.4-123,S1(=O)(=O)N(CCN1C)Cc1cc2c([nH]cc2CCN(C)C)cc1,-0.68,S 1 ( = O ) ( = O ) N ( C C N 1 C ) C c 1 c c 2 c ( [nH] c c 2 C C N ( C ) C ) c c 1
71,O-62,O1C(C=CC1N1C=C(C)C(=O)NC1=O)CO,-0.72,O 1 C ( C = C C 1 N 1 C = C ( C ) C ( = O ) N C 1 = O ) C O
72,A-logD7.4-529,O(C)c1ccccc1,2.09,O ( C ) c 1 c c c c c 1
73,A-logD7.4-503,FC(F)(F)C=1OC(=O)c2c(N=1)cccc2,1.9,F C ( F ) ( F ) C = 1 O C ( = O ) c 2 c ( N = 1 ) c c c c 2
74,A-logD7.4-680,Clc1ccccc1,2.87,Cl c 1 c c c c c 1
75,O-107,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](O)[C@]4(CC3)C)CCC2=C1)C,3.31,O = C 1 C C [C@@] 2 ( [C@@H] 3 [C@H] ( [C@@H] 4 C C [C@H] ( O ) [C@] 4 ( C C 3 ) C ) C C C 2 = C 1 ) C
76,A-logD7.4-726,Clc1c(csc1C(=O)Nc1ccc(Cl)cc1C(=O)Nc1ncc(Cl)cc1)CN1CCN(CC1)C,3.11,Cl c 1 c ( c s c 1 C ( = O ) N c 1 c c c ( Cl ) c c 1 C ( = O ) N c 1 n c c ( Cl ) c c 1 ) C N 1 C C N ( C C 1 ) C
77,A-logD7.4-623,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N)c1cccnc1,2.59,Cl c 1 c c ( c c c 1 Cl ) [C@] 1 ( C C N ( C 1 ) C ( = O ) c 1 c c ( O C ) c ( O C ) c ( O C ) c 1 ) C C N 1 C C C ( C C 1 ) ( C ( = O ) N ) c 1 c c c n c 1
78,A-logD7.4-605,S1c2c(N(c3c1cccc3)CCCN(C)C)cccc2,2.48,S 1 c 2 c ( N ( c 3 c 1 c c c c 3 ) C C C N ( C ) C ) c c c c 2
79,A-logD7.4-531,O(C(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1nc[nH]c1)C(=O)NC(C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCN=C(N)N)CC(C)C,2.1,O ( C ( C ) ( C ) C ) C ( = O ) N [C@@H] ( C c 1 c c c c c 1 ) C ( = O ) N [C@@H] ( C c 1 n c [nH] c 1 ) C ( = O ) N C ( C ( O ) C C ( = O ) N [C@@H] ( C C ( C ) C ) C ( = O ) N C C N = C ( N ) N ) C C ( C ) C
80,A-logD7.4-219,OC=1C(=O)C=CN(CCCOCC)C=1C,0.12,O C = 1 C ( = O ) C = C N ( C C C O C C ) C = 1 C
81,I-logDoct-PBS-28,n1c2c(n(c1)Cc1cc(N)ccc1)cccc2,1.92,n 1 c 2 c ( n ( c 1 ) C c 1 c c ( N ) c c c 1 ) c c c c 2
82,E-logD7.4-13,o1c(nc(CNCCC2N(CCC2)C)c1C)-c1ccc(cc1)C,3.3,o 1 c ( n c ( C N C C C 2 N ( C C C 2 ) C ) c 1 C ) - c 1 c c c ( c c 1 ) C
83,A-logD7.4-424,O=C1N(c2nc(nc(c2CC1)C(C)C)C)Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1,1.41,O = C 1 N ( c 2 n c ( n c ( c 2 C C 1 ) C ( C ) C ) C ) C c 1 c c c ( c c 1 ) - c 1 c c c c c 1- c 1 n n [nH] n 1
84,E-logD7.4-89,o1cc(nc1-c1ccc(OCC)cc1)CNC[C@H]1[C@@H]2C[C@H](CC1)C2(C)C,5.5,o 1 c c ( n c 1- c 1 c c c ( O C C ) c c 1 ) C N C [C@H] 1 [C@@H] 2 C [C@H] ( C C 1 ) C 2 ( C ) C
85,B-logD7.4-291,s1c2c(nc1O)c(O)ccc2CCNCCSCCCOCCCc1ccccc1,3.61,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S C C C O C C C c 1 c c c c c 1
86,B-logD7.4-65,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCC(N)(C)C)CC1CCCCC1)Cc1ccccc1,3.8,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C ( N ) ( C ) C ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
87,A-logD7.4-685,n1c(nc(NC2CC2)c(C)c1N1CCCCCC1)C1CC1,2.9,n 1 c ( n c ( N C 2 C C 2 ) c ( C ) c 1 N 1 C C C C C C 1 ) C 1 C C 1
88,O-494,S(=O)(=O)(Nc1onc(C)c1C)c1ccc(N)cc1,-0.56,S ( = O ) ( = O ) ( N c 1 o n c ( C ) c 1 C ) c 1 c c c ( N ) c c 1
89,O-440,OC(=O)[C@@H](NC(=O)[C@@H](N)Cc1c2c([nH]c1)cccc2)Cc1ccccc1,-0.5,O C ( = O ) [C@@H] ( N C ( = O ) [C@@H] ( N ) C c 1 c 2 c ( [nH] c 1 ) c c c c 2 ) C c 1 c c c c c 1
90,B-logD7.4-258,S1c2c(NC1=O)c(O)ccc2CCNCCCSCCOCCc1ccccc1,2.92,S 1 c 2 c ( N C 1 = O ) c ( O ) c c c 2 C C N C C C S C C O C C c 1 c c c c c 1
91,O-228,OC(=O)Cn1cc(cc1)C(=O)c1ccc(cc1)C(C)(C)C,0.0,O C ( = O ) C n 1 c c ( c c 1 ) C ( = O ) c 1 c c c ( c c 1 ) C ( C ) ( C ) C
92,B-logD7.4-4,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN,-3.4,O C ( = O ) [C@H] 1 N ( C C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C c 1 c c c c c 1 ) C ( O ) = O ) C C C C N
93,I-logDoct-PBS-9,[nH]1nc(nn1)-c1cc(ccc1)Cc1ncccn1,-1.28,[nH] 1 n c ( n n 1 ) - c 1 c c ( c c c 1 ) C c 1 n c c c n 1
94,E-logD7.4-36,Fc1ccc(cc1)-c1nn2c(N=C(C=C2NC2CCNCC2)c2ccccc2)c1,4.2,F c 1 c c c ( c c 1 ) - c 1 n n 2 c ( N = C ( C = C 2 N C 2 C C N C C 2 ) c 2 c c c c c 2 ) c 1
95,A-logD7.4-826,Ic1cc(cc(I)c1OCCN1CCCCC1)C(=O)c1c2c(oc1CCCC)cccc2,6.16,I c 1 c c ( c c ( I ) c 1 O C C N 1 C C C C C 1 ) C ( = O ) c 1 c 2 c ( o c 1 C C C C ) c c c c 2
96,A-logD7.4-694,Clc1c(csc1C(=O)Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cc1)CN1CCN(CC1)C,2.96,Cl c 1 c ( c s c 1 C ( = O ) N c 1 c c c ( Cl ) c c 1 C ( = O ) N c 1 c c c ( Cl ) c c 1 ) C N 1 C C N ( C C 1 ) C
97,O-205,S1(=O)(=O)N(C)C(C(=O)Nc2ncccc2)=C(O)c2c1cccc2,0.26,S 1 ( = O ) ( = O ) N ( C ) C ( C ( = O ) N c 2 n c c c c 2 ) = C ( O ) c 2 c 1 c c c c 2
98,B-logD7.4-103,O(CCCC)c1ccc(NC(Nc2ccc(OCCCC)cc2)=N)cc1,3.52,O ( C C C C ) c 1 c c c ( N C ( N c 2 c c c ( O C C C C ) c c 2 ) = N ) c c 1
99,A-logD7.4-667,O(CCCC)c1ncc(cc1-c1nc(O)c2nn(c(c2n1)CC)C1CN(C1)CC)C(=O)C,2.8,O ( C C C C ) c 1 n c c ( c c 1- c 1 n c ( O ) c 2 n n ( c ( c 2 n 1 ) C C ) C 1 C N ( C 1 ) C C ) C ( = O ) C
100,C-logD7.4-23,ClC1=Nn2c(nnc2C(F)(F)F)C=C1,3.11,Cl C 1 = N n 2 c ( n n c 2 C ( F ) ( F ) F ) C = C 1
101,A-logD7.4-659,Clc1c(csc1C(=O)Nc1c(cc(Cl)cc1OC)C(=O)Nc1ncc(Cl)cc1)CN1CCN(CC1)C,2.75,Cl c 1 c ( c s c 1 C ( = O ) N c 1 c ( c c ( Cl ) c c 1 O C ) C ( = O ) N c 1 n c c ( Cl ) c c 1 ) C N 1 C C N ( C C 1 ) C
102,A-logD7.4-525,O(CCN(CCOC)c1nnc(Nn2c(ccc2C)C)cc1)C,2.06,O ( C C N ( C C O C ) c 1 n n c ( N n 2 c ( c c c 2 C ) C ) c c 1 ) C
103,A-logD7.4-594,Clc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCCCN2CCN(CC2)C)c3)cc1,2.4,Cl c 1 c c ( F ) c ( N c 2 n c n c 3 c 2 c c ( O C ) c ( O C C C N 2 C C N ( C C 2 ) C ) c 3 ) c c 1
104,A-logD7.4-402,F[C@H]1C[C@H](N(C1)C(=O)Cc1cc(OC)c(NC(=O)Nc2ccccc2OC)cc1)COc1ccc(cc1)C(O)=O,1.31,F [C@H] 1 C [C@H] ( N ( C 1 ) C ( = O ) C c 1 c c ( O C ) c ( N C ( = O ) N c 2 c c c c c 2 O C ) c c 1 ) C O c 1 c c c ( c c 1 ) C ( O ) = O
