,Compound ID,InChIKey,SMILES,logS,logP,MW,smi
11,C860,GPTONYMQFTZPKC-UHFFFAOYSA-N,COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N,-2.5799999,2.6032,280.303,C O c 1 c n c ( n c 1 ) N S ( = O ) ( = O ) c 1 c c c ( c c 1 ) N
12,C3718,YAEANQXMMPFYHR-UHFFFAOYSA-L,Cc1ccc[n+](c1)CC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)C[n+]1cccc(c1)C.[Br-].[Br-],-4.324264557,-1.6808,582.326,C c 1 c c c [n+] ( c 1 ) C C ( = O ) c 1 c c c ( c c 1 ) c 1 c c c ( c c 1 ) C ( = O ) C [n+] 1 c c c c ( c 1 ) C . [Br-] . [Br-]
13,C5408,XCXZAVJKBNSINK-UHFFFAOYSA-N,CCN(c1c(C)n(C)c(=O)n(c1=O)c1ccccc1)CC,-3.098026809,1.6908,287.357,C C N ( c 1 c ( C ) n ( C ) c ( = O ) n ( c 1 = O ) c 1 c c c c c 1 ) C C
14,C9393,IPIWKLKSFLQQEA-UHFFFAOYSA-L,CCCC[N+](CCOCC[N+](CCCC)(CC)CC)(C)C.[Br-].[Br-],0.335024432,-2.4558,462.347,C C C C [N+] ( C C O C C [N+] ( C C C C ) ( C C ) C C ) ( C ) C . [Br-] . [Br-]
15,C2364,BXCRLBBIZJSWNS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCCO,-6.089541043,5.0032,300.4770000000001,C C C C C C C C C C C C C C C C ( = O ) O C C O
16,C8333,BCJMNZRQJAVDLD-CQRYIUNCSA-N,C/C=C\1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3[C@H]2[C@H](OC1=O)CC3,-1.05739082,0.1031,351.394,C / C = C \1/ C [C@@H] ( C ) [C@] ( O ) ( C O ) C ( = O ) O C C 2 = C C N 3 [C@H] 2 [C@H] ( O C 1 = O ) C C 3
17,C8376,PINNQKFNRKECFX-UHFFFAOYSA-N,CCNc1nncs1,-1.000608932,1.0429,129.183,C C N c 1 n n c s 1
18,C2106,XMAYWYJOQHXEEK-OZXSUGGESA-N,Clc1ccc(c(c1)Cl)[C@]1(OC[C@@H](O1)COc1ccc(cc1)N1CCN(CC1)C(=O)C)Cn1cncc1,-6.787781037999999,4.2087,531.431,Cl c 1 c c c ( c ( c 1 ) Cl ) [C@] 1 ( O C [C@@H] ( O 1 ) C O c 1 c c c ( c c 1 ) N 1 C C N ( C C 1 ) C ( = O ) C ) C n 1 c n c c 1
19,C739,RDHHZPRHIKNBBI-OLQVQODUSA-N,O=C1NC(=O)[C@@H]2[C@H]1C=CC=C2,-2.9300001,0.33,149.14700000000005,O = C 1 N C ( = O ) [C@@H] 2 [C@H] 1 C = C C = C 2
20,C4323,VABCILAOYCMVPS-UHFFFAOYSA-N,CC(=O)CC(c1c(=O)oc2c(c1O)cccc2)c1ccc(cc1)[N+](=O)[O-],-3.857187469,4.041,353.325,C C ( = O ) C C ( c 1 c ( = O ) o c 2 c ( c 1 O ) c c c c 2 ) c 1 c c c ( c c 1 ) [N+] ( = O ) [O-]
21,C9799,CFEPSQISKFBCRD-UHFFFAOYSA-N,CNC(C(c1ccccc1O)O)C,0.741757928,1.4244,181.232,C N C ( C ( c 1 c c c c c 1 O ) O ) C
22,C6593,MMAGCXHWOMQWKW-LIWIJTDLSA-N,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)c1ccccc1.Cl,-2.34953962,3.2085,281.778,C N 1 [C@@H] 2 C C [C@H] 1 C C ( C 2 ) O C ( = O ) c 1 c c c c c 1 . Cl
23,C6235,YQTAUCCALHOTQC-UHFFFAOYSA-N,O=C1C(CCN1c1ccc(cc1)F)N1CCCCC1,-2.5700399469999997,2.4198,262.323,O = C 1 C ( C C N 1 c 1 c c c ( c c 1 ) F ) N 1 C C C C C 1
24,C1134,AMRQXHFXNZFDCH-VIFPVBQESA-N,CCNC(=O)[C@@H](OC(=O)Nc1ccccc1)C,-1.83,2.2236,236.267,C C N C ( = O ) [C@@H] ( O C ( = O ) N c 1 c c c c c 1 ) C
25,C6519,UADGDKCDJALXDM-UHFFFAOYSA-N,CC(OC(=O)c1ccccc1S(=O)(=O)N)C,-2.395762179,2.6803,243.28,C C ( O C ( = O ) c 1 c c c c c 1 S ( = O ) ( = O ) N ) C
26,C1722,XVQDYVLXIXMLOS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCOC(=O)c1ccc(c(c1)N(CCCl)CCCl)C,-13.45141192,9.3072,514.611,C C C C C C C C C C C C C C C C C O C ( = O ) c 1 c c c ( c ( c 1 ) N ( C C Cl ) C C Cl ) C
27,C8497,NGBBVGZWCFBOGO-UHFFFAOYSA-N,CC(Cc1ccc2c(c1)OCO2)N,-0.901201507,2.0053,179.21599999999995,C C ( C c 1 c c c 2 c ( c 1 ) O C O 2 ) N
28,C2749,ZDYPMKZEUSYJQI-LZYBPNLTSA-N,CN(CC/C=C\1/c2ccsc2CCc2c1cccc2)C,-5.443850257,4.2301,283.431,C N ( C C / C = C \1/ c 2 c c s c 2 C C c 2 c 1 c c c c 2 ) C
29,C3287,ZKNSZZXBPSICFK-UHFFFAOYSA-N,OC(=O)C(Oc1ccc(cc1)Cl)Oc1ccc(cc1)Cl,-4.751431695,3.8619,313.133,O C ( = O ) C ( O c 1 c c c ( c c 1 ) Cl ) O c 1 c c c ( c c 1 ) Cl
30,C5272,WPLQCARIFVAYOT-UHFFFAOYSA-N,N#CC(=NNc1ccc(cc1)[N+](=O)[O-])C#N,-3.184491659,2.0060599999999997,215.168,N # C C ( = N N c 1 c c c ( c c 1 ) [N+] ( = O ) [O-] ) C # N
31,C5497,DWDXRBSFDKWBHA-UHFFFAOYSA-N,C=CCNC(=O)OCC(COC(=O)N)(CC)CC,-3.042938795,2.8915,258.314,C = C C N C ( = O ) O C C ( C O C ( = O ) N ) ( C C ) C C
32,C5489,DXDRHHKMWQZJHT-FPYGCLRLSA-N,Oc1ccc(cc1)/C=C/C(=O)c1ccc(cc1O)O,-3.046947885,2.6995,256.253,O c 1 c c c ( c c 1 ) / C = C / C ( = O ) c 1 c c c ( c c 1 O ) O
33,C4905,LDOCMFAHAVONEI-UHFFFAOYSA-N,Fc1ccc(cc1)S(=O)(=O)Nc1ccccc1,-3.452225645,3.7803,251.27700000000002,F c 1 c c c ( c c 1 ) S ( = O ) ( = O ) N c 1 c c c c c 1
34,C4518,UULSXYSSHHRCQK-UHFFFAOYSA-N,CCC(c1ccc(cc1)CC(C)C)C(=O)O,-3.70997388,3.4633000000000003,220.30700000000002,C C C ( c 1 c c c ( c c 1 ) C C ( C ) C ) C ( = O ) O
35,C9356,YIGNINFAAFTVJS-UHFFFAOYSA-L,C[N+](CCCc1ccc(cc1)[N+](C)(C)C)(C)C.[I-].[I-],0.309616053,-3.4699,490.205,C [N+] ( C C C c 1 c c c ( c c 1 ) [N+] ( C ) ( C ) C ) ( C ) C . [I-] . [I-]
36,C1299,XVAIDCNLVLTVFM-UHFFFAOYSA-N,COc1ccc(cc1)NC(=O)C,-1.3,1.7266,165.18900000000005,C O c 1 c c c ( c c 1 ) N C ( = O ) C
37,C7007,PMVSDNDAUGGCCE-TYYBGVCCSA-L,[O-]C(=O)/C=C/C(=O)[O-].[Fe+2],-2.084067899,-2.9601,169.90099999999995,[O-] C ( = O ) / C = C / C ( = O ) [O-] . [Fe+2]
38,C704,NBLIVIWUPTWDMD-UHFFFAOYSA-N,O=C1NC(=O)NC(=O)C21CCCCC2,-3.0599998999999998,0.9605,196.203,O = C 1 N C ( = O ) N C ( = O ) C 21 C C C C C 2
39,C2297,OSQHGAXCVAYZPZ-UHFFFAOYSA-K,[O-]C(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F.[O-]C(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F.[O-]C(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F.[Al+3],-6.224019802000001,8.6565,867.6469999999997,[O-] C ( = O ) c 1 c c c c c 1 N c 1 c c c c ( c 1 ) C ( F ) ( F ) F . [O-] C ( = O ) c 1 c c c c c 1 N c 1 c c c c ( c 1 ) C ( F ) ( F ) F . [O-] C ( = O ) c 1 c c c c c 1 N c 1 c c c c ( c 1 ) C ( F ) ( F ) F . [Al+3]
40,C2471,KUVIULQEHSCUHY-XYWKZLDCSA-N,CCC(=O)O[C@@]1([C@@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)Cl)C(=O)COC(=O)CC,-5.8799201629999995,4.0868,521.0419999999998,C C C ( = O ) O [C@@] 1 ( [C@@H] ( C ) C [C@@H] 2 [C@] 1 ( C ) C [C@H] ( O ) [C@] 1 ( [C@H] 2 C C C 2 = C C ( = O ) C = C [C@] 12 C ) Cl ) C ( = O ) C O C ( = O ) C C
41,C6261,FSTBFUURVQFNFN-UHFFFAOYSA-N,CCCSCCCCCN1CCSC1.Cl,-2.559613874,4.0461,269.89799999999997,C C C S C C C C C N 1 C C S C 1 . Cl
42,C8210,YRRWOZRDSFWKLZ-UHFFFAOYSA-L,C[N+](Cc1ccccc1)(CCCCCCCCCC[N+](Cc1ccccc1)(C)C)C.[Br-].[Br-],-1.174190756,0.6684,570.486,C [N+] ( C c 1 c c c c c 1 ) ( C C C C C C C C C C [N+] ( C c 1 c c c c c 1 ) ( C ) C ) C . [Br-] . [Br-]
43,C7831,NCTVMGMNIUJYIN-UHFFFAOYSA-N,OCCN1CCN=C1Nc1ncc(s1)[N+](=O)[O-],-1.509309071,0.0968,257.27,O C C N 1 C C N = C 1 N c 1 n c c ( s 1 ) [N+] ( = O ) [O-]
44,C9897,SBAJRGRUGUQKAF-UHFFFAOYSA-N,N#CCCNCCC#N,0.909533846,0.7942600000000001,123.156,N # C C C N C C C # N
45,C4788,CROGROFAKDECNL-MBHUSPCXSA-N,CCCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Br,-3.551050661,4.7566,366.336,C C C N 1 C C [C@@] 23 [C@H] ( [C@H] 1 C c 1 c 3 c c ( c c 1 ) O ) C C C C 2 . Br
46,C7360,ZAHQPTJLOCWVPG-UHFFFAOYSA-N,OCCNCCNc1ccc(c2c1C(=O)c1c(C2=O)c(O)ccc1O)NCCNCCO.Cl.Cl,-1.83876851,2.3926,517.403,O C C N C C N c 1 c c c ( c 2 c 1 C ( = O ) c 1 c ( C 2 = O ) c ( O ) c c c 1 O ) N C C N C C O . Cl . Cl
47,C6401,JYIJIIVLEOETIQ-XDQVBPFNSA-N,O=C1CCC[C@H]2N1C[C@@H]1C[C@H]2CN2[C@H]1CCCC2,-2.4749758109999997,1.7475,248.364,O = C 1 C C C [C@H] 2 N 1 C [C@@H] 1 C [C@H] 2 C N 2 [C@H] 1 C C C C 2
48,C2199,CAQICVDDBQWJMA-UHFFFAOYSA-L,C[N+]1(CCCCCCCCCC[N+]2(C)CCCC2)CCCC1.[I-].[I-],-6.4867530460000005,-1.4864,564.37,C [N+] 1 ( C C C C C C C C C C [N+] 2 ( C ) C C C C 2 ) C C C C 1 . [I-] . [I-]
49,C4461,TUUUIDCCDQJUQA-UHFFFAOYSA-N,C(CCN1CSCC1)CCOc1ccc2c(n1)cccc2.Cl.Cl,-3.756212829,5.3321,375.356,C ( C C N 1 C S C C 1 ) C C O c 1 c c c 2 c ( n 1 ) c c c c 2 . Cl . Cl
50,C5402,LZJRNLRASBVRRX-ZDUSSCGKSA-N,COc1cc2c(cc1O)C[C@H]1c3c2c(OC)c(O)cc3CCN1C,-3.100747456,2.805,327.374,C O c 1 c c 2 c ( c c 1 O ) C [C@H] 1 c 3 c 2 c ( O C ) c ( O ) c c 3 C C N 1 C
51,C1211,CFKMVGJGLGKFKI-UHFFFAOYSA-N,Oc1ccc(c(c1)C)Cl,-1.5700001000000001,2.354,142.583,O c 1 c c c ( c ( c 1 ) C ) Cl
52,C535,QXKHYNVANLEOEG-UHFFFAOYSA-N,COc1c2oc(=O)ccc2cc2c1occ2,-3.6600001000000004,2.5478,216.19,C O c 1 c 2 o c ( = O ) c c c 2 c c 2 c 1 o c c 2
53,C7507,NKNVOKGUNUZJFC-UHFFFAOYSA-N,CC(c1[nH]c2c(n1)n(C)c(=O)n(c2=O)C)C,-1.731940645,0.08370000000000001,222.24400000000003,C C ( c 1 [nH] c 2 c ( n 1 ) n ( C ) c ( = O ) n ( c 2 = O ) C ) C
54,C6359,MJELWGXEQOCGGW-UHFFFAOYSA-N,CCCCOc1ccccc1NC(=O)C,-2.4983168190000002,2.8969,207.269,C C C C O c 1 c c c c c 1 N C ( = O ) C
55,C8728,BSFJGCCAXDCMOX-UHFFFAOYSA-N,Nc1ccc(cc1)S(=O)(=O)[N-]c1nccc(n1)C.[Na+],-0.6129431710000001,3.4233,286.285,N c 1 c c c ( c c 1 ) S ( = O ) ( = O ) [N-] c 1 n c c c ( n 1 ) C . [Na+]
56,C2847,OSGHSYGGTOXWEY-UHFFFAOYSA-N,CC(CCNCC1CCC(CC1)CNCCC(C)C)C.Cl.Cl,-5.29068515,6.45,355.43,C C ( C C N C C 1 C C C ( C C 1 ) C N C C C ( C ) C ) C . Cl . Cl
57,C2342,IHXOCADAVBSZJN-UHFFFAOYSA-L,CC[N+](C1c2ccccc2c2c1cccc2)(CCCCCC[N+](C1c2ccccc2c2c1cccc2)(CC)CC)CC.[Br-].[Br-],-6.120925776,3.8080000000000003,718.6460000000003,C C [N+] ( C 1 c 2 c c c c c 2 c 2 c 1 c c c c 2 ) ( C C C C C C [N+] ( C 1 c 2 c c c c c 2 c 2 c 1 c c c c 2 ) ( C C ) C C ) C C . [Br-] . [Br-]
58,C1300,HCFAJYNVAYBARA-UHFFFAOYSA-N,CCCC(=O)CCC,-1.3,2.1557,114.185,C C C C ( = O ) C C C
59,C4854,YFQMJRKDDFCXOC-UHFFFAOYSA-N,O=C(C(C)C)Nc1nc2c(o1)ccc(c2)Cl,-3.4998527189999997,3.1487,238.67,O = C ( C ( C ) C ) N c 1 n c 2 c ( o 1 ) c c c ( c 2 ) Cl
60,C2332,YDOWCNBJMHAORA-UHFFFAOYSA-N,COc1cc2c(cc1OC)CCN(C2CCc1ccc(cc1)Cl)CC[NH+](CC)CC.[Br-],-6.143361905,0.7558,511.923,C O c 1 c c 2 c ( c c 1 O C ) C C N ( C 2 C C c 1 c c c ( c c 1 ) Cl ) C C [NH+] ( C C ) C C . [Br-]
61,C1361,ISPYQTSUDJAMAB-UHFFFAOYSA-N,Oc1ccccc1Cl,-1.0599999,2.0456,128.556,O c 1 c c c c c 1 Cl
62,C3351,UVTBZAWTRVBTMK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(CC1)CCOCc1ccccc1)c1ccccc1,-4.681015586,3.738,367.481,C C O C ( = O ) C 1 ( C C N ( C C 1 ) C C O C c 1 c c c c c 1 ) c 1 c c c c c 1
63,C4201,NLKSFKLPWZLDGG-UHFFFAOYSA-N,O=c1n(C)c2ccccc2[nH]c2c1cccc2,-3.9633678010000004,2.582,224.25799999999998,O = c 1 n ( C ) c 2 c c c c c 2 [nH] c 2 c 1 c c c c 2
64,C1826,GTWNJZNRBRCACB-UHFFFAOYSA-N,OC(=O)c1cc2ccccc2c(c1O)Cc1c(O)c(cc2c1cccc2)C(=O)O.CCN(CCCC(Nc1cc(OC)cc2c1NCCC2)C)CC,-8.688584265,8.5781,707.8539999999997,O C ( = O ) c 1 c c 2 c c c c c 2 c ( c 1 O ) C c 1 c ( O ) c ( c c 2 c 1 c c c c 2 ) C ( = O ) O . C C N ( C C C C ( N c 1 c c ( O C ) c c 2 c 1 N C C C 2 ) C ) C C
65,C3913,UNVDLZFIUJGXJR-UHFFFAOYSA-N,CCN1CCC(CC1)OC(=O)Nc1c(C)cccc1Cl,-4.167105225,3.6921,296.7920000000001,C C N 1 C C C ( C C 1 ) O C ( = O ) N c 1 c ( C ) c c c c 1 Cl
66,C7575,FOHWXVBZGSVUGO-UHFFFAOYSA-N,S=c1[nH]nc(o1)c1ccccc1,-1.687448548,2.3992,178.21099999999996,S = c 1 [nH] n c ( o 1 ) c 1 c c c c c 1
67,C5351,OGBHACNFHJJTQT-UHFFFAOYSA-M,CCCCOC(=O)c1ccc(cc1)[O-].[Na+],-3.13348269,2.7873,216.209,C C C C O C ( = O ) c 1 c c c ( c c 1 ) [O-] . [Na+]
68,C2750,CPFJLLXFNPCTDW-UHFFFAOYSA-N,CS(=O)(=O)O.CN1C2CCC1CC(C2)OC(c1ccccc1)c1ccccc1,-5.443020357000001,4.9405,403.535,C S ( = O ) ( = O ) O . C N 1 C 2 C C C 1 C C ( C 2 ) O C ( c 1 c c c c c 1 ) c 1 c c c c c 1
69,C4684,AABXRENNINHJOR-UHFFFAOYSA-N,CCN(CCOC(=O)CC(c1ccccc1)(c1ccccc1)O)CC.Cl,-3.6150178989999997,3.9996,377.905,C C N ( C C O C ( = O ) C C ( c 1 c c c c c 1 ) ( c 1 c c c c c 1 ) O ) C C . Cl
70,C7546,INPYZYGYRQOSMA-UHFFFAOYSA-N,C=CCN1CC2CCC(C1)N2C(=O)CC,-1.71017364,1.1334,208.3,C = C C N 1 C C 2 C C C ( C 1 ) N 2 C ( = O ) C C
71,C5704,PJKVFARRVXDXAD-UHFFFAOYSA-N,O=Cc1ccc2c(c1)cccc2,-2.90852954,2.6523,156.181,O = C c 1 c c c 2 c ( c 1 ) c c c c 2
72,C1306,CKQHAYFOPRIUOM-UHFFFAOYSA-N,Nc1cccc(c1)C(=O)C,-1.28,2.0526,135.16299999999998,N c 1 c c c c ( c 1 ) C ( = O ) C
73,C2852,ACRMUSVWIFZVSM-JTHHODAVSA-N,C[C@@H](C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1.O[C@H]([C@H](C(=O)O)O)C(=O)O,-5.285796704,1.3166,542.621,C [C@@H] ( C ( C ( = O ) N 1 C C C C 1 ) ( c 1 c c c c c 1 ) c 1 c c c c c 1 ) C N 1 C C O C C 1 . O [C@H] ( [C@H] ( C ( = O ) O ) O ) C ( = O ) O
74,C6407,PIZFMLLHVVBRNN-UHFFFAOYSA-M,OC(c1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)Cc1cccc2c1cccc2.[Cl-],-2.470438356,1.7194,451.985,O C ( c 1 c c c c c 1 ) C ( = O ) O C 1 C C 2 C C C ( C 1 ) [N+] 2 ( C ) C c 1 c c c c 2 c 1 c c c c 2 . [Cl-]
75,C4590,CKQHXOCXLJZGSX-UHFFFAOYSA-N,Clc1ccc2c(c1)nccc2OCCCCCNCCSS(=O)(=O)O,-3.670859787,5.0346,404.93199999999996,Cl c 1 c c c 2 c ( c 1 ) n c c c 2 O C C C C C N C C S S ( = O ) ( = O ) O
76,C6753,YXVCLPJQTZXJLH-UHFFFAOYSA-N,Cc1ncc(c(n1)N)C[n+]1csc(c1C)CCOP(=O)(OP(=O)(O)O)O.[Cl-],-2.246338188,-1.5731000000000002,460.767,C c 1 n c c ( c ( n 1 ) N ) C [n+] 1 c s c ( c 1 C ) C C O P ( = O ) ( O P ( = O ) ( O ) O ) O . [Cl-]
77,C1183,LGXVIGDEPROXKC-UHFFFAOYSA-N,ClC(=C)Cl,-1.64,1.9352,96.9433,Cl C ( = C ) Cl
78,C5358,VZZFPHAKJNPXQY-UHFFFAOYSA-N,CCCC(C1(CC)C(=O)N(C)C(=O)N(C1=O)C)C,-3.128935787,1.7452,254.325,C C C C ( C 1 ( C C ) C ( = O ) N ( C ) C ( = O ) N ( C 1 = O ) C ) C
79,C9519,GXCRUTWHNMMJEK-WYUVZMMLSA-M,[O-]C(=O)C1=C(COC(=O)C)CS[C@H]2N1C(=O)[C@H]2NC(=O)CC#N.[Na+],0.44212724200000003,-1.80412,361.306,[O-] C ( = O ) C 1 = C ( C O C ( = O ) C ) C S [C@H] 2 N 1 C ( = O ) [C@H] 2 N C ( = O ) C C # N . [Na+]
80,C8778,JSPCTNUQYWIIOT-UHFFFAOYSA-N,NC(=O)N1CCCCC1,-0.549094756,1.1892,128.172,N C ( = O ) N 1 C C C C C 1
81,C6615,KGFPEHPECNYMKJ-UHFFFAOYSA-N,CNCCCC12CC3CC(C1)CC(C2O)C3.Cl,-2.335487973,3.3661,259.815,C N C C C C 12 C C 3 C C ( C 1 ) C C ( C 2 O ) C 3 . Cl
82,C4665,RDOUPJBDKWSTIZ-AYXDOIBJSA-N,O[C@H]([C@H](C(=O)O)O)C(=O)O.CCOC(=O)CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2,-3.6288758160000003,1.2191,493.54699999999997,O [C@H] ( [C@H] ( C ( = O ) O ) O ) C ( = O ) O . C C O C ( = O ) C C N 1 C C [C@@] 23 [C@H] ( [C@H] 1 C c 1 c 3 c c ( c c 1 ) O ) C C C C 2
83,C2636,PWQRTIDMAHIZSV-UHFFFAOYSA-N,CC(CCC=C(C)C)CCN1CCN(CC1)CC(=O)NN=Cc1ccc(o1)[N+](=O)[O-],-5.593375104,3.818,419.51800000000003,C C ( C C C = C ( C ) C ) C C N 1 C C N ( C C 1 ) C C ( = O ) N N = C c 1 c c c ( o 1 ) [N+] ( = O ) [O-]
84,C1389,FMLSQAUAAGVTJO-UHFFFAOYSA-N,CC(CC(O)(C)C)C,-0.92000002,1.8034,116.20100000000001,C C ( C C ( O ) ( C ) C ) C
85,C8843,NWPRCRWQMGIBOT-UHFFFAOYSA-N,OCCn1cnc2c1c(=O)n(C)c(=O)n2C,-0.45003416399999996,-1.574,224.217,O C C n 1 c n c 2 c 1 c ( = O ) n ( C ) c ( = O ) n 2 C
86,C4891,HMVVCUFELKIQGF-UHFFFAOYSA-N,CCCN1CCN(CC1C(=O)Nc1c(C)cccc1C)CCC.ON=O.ON=O,-3.465153883,3.2809,411.496,C C C N 1 C C N ( C C 1 C ( = O ) N c 1 c ( C ) c c c c 1 C ) C C C . O N = O . O N = O
87,C4191,MCHADYPYCJQLMV-AWEZNQCLSA-N,COc1ccc2c(cc1=O)[C@H](CCc1c2c(OC)c(c(c1)OC)OC)NC(=O)C(F)(F)F,-3.973447887,3.8049,453.408,C O c 1 c c c 2 c ( c c 1 = O ) [C@H] ( C C c 1 c 2 c ( O C ) c ( c ( c 1 ) O C ) O C ) N C ( = O ) C ( F ) ( F ) F
88,C8914,LTGKKKITNWDUCD-UHFFFAOYSA-N,CC(=O)Nc1ccc(cc1)[As](=O)(O)O,-0.35465017600000004,-0.721,259.091,C C ( = O ) N c 1 c c c ( c c 1 ) [As] ( = O ) ( O ) O
89,C3820,BVMNPUCCRIKXTQ-UHFFFAOYSA-N,CCC(c1ccccc1)(C(=O)OCc1ccccc1)CN(C)C.Cl,-4.231803039,4.4414,347.879,C C C ( c 1 c c c c c 1 ) ( C ( = O ) O C c 1 c c c c c 1 ) C N ( C ) C . Cl
90,C4934,FCNBIVGBRLYZIR-UHFFFAOYSA-N,CCCC(COC(=O)N)(COC(=O)NC(C#C)(C)C)C,-3.432673082,3.1173,284.351,C C C C ( C O C ( = O ) N ) ( C O C ( = O ) N C ( C # C ) ( C ) C ) C
91,C1430,ZOCHHNOQQHDWHG-ZCFIWIBFSA-N,CCC[C@@H](CC)O,-0.80000001,1.5574,102.175,C C C [C@@H] ( C C ) O
92,C1901,KDQYKOUUVSPPPI-UHFFFAOYSA-N,CCC(c1ccc2c(c1)N(CCCN(C)C)c1c(S2)cccc1)(C)C.Cl,-7.874521815,6.7956,391.01300000000003,C C C ( c 1 c c c 2 c ( c 1 ) N ( C C C N ( C ) C ) c 1 c ( S 2 ) c c c c 1 ) ( C ) C . Cl
93,C4804,ZZYHCCDMBJTROG-UHFFFAOYSA-N,OC(=O)C(CC(=O)O)(CC(=O)O)O.CN(CCOc1ccccc1Cc1ccccc1)C,-3.5368341689999996,1.9693,447.478,O C ( = O ) C ( C C ( = O ) O ) ( C C ( = O ) O ) O . C N ( C C O c 1 c c c c c 1 C c 1 c c c c c 1 ) C
94,C4233,GDGCCLGDBQIELP-UHFFFAOYSA-N,CCCCOc1ccc(cc1)C(=O)OCCN(CC)CC.Cl,-3.936955536,4.1661,329.86199999999997,C C C C O c 1 c c c ( c c 1 ) C ( = O ) O C C N ( C C ) C C . Cl
95,C5027,UONWZNLVCSWMSI-UHFFFAOYSA-N,CCN1CCCC(C1)OC(=O)Nc1ccc(cc1)C,-3.3658075910000003,3.0387,262.347,C C N 1 C C C C ( C 1 ) O C ( = O ) N c 1 c c c ( c c 1 ) C
96,C2980,NNADEMKNXDZEKW-UHFFFAOYSA-N,C[NH+]1C2CCC1CC(C2)OC(=O)C(=C)c1ccc(cc1)C(C)(C)C.[Cl-],-5.131260792,1.3218,363.921,C [NH+] 1 C 2 C C C 1 C C ( C 2 ) O C ( = O ) C ( = C ) c 1 c c c ( c c 1 ) C ( C ) ( C ) C . [Cl-]
